File Path,N,K,Iteration,CPU Time,Parallel Time,CPU Hull Size,Parallel Hull Size
./Testcases/Circle/points_circle_2000000.txt,2000000,256,3,87,11.9851,344,344
./Testcases/Circle/points_circle_2000000.txt,2000000,512,3,87,14.3391,344,344
./Testcases/Uniform/points_uniform_2000000.txt,2000000,128,3,157,8.90893,42,42
./Testcases/Uniform/points_uniform_2000000.txt,2000000,256,3,157,9.419,42,42
./Testcases/Uniform/points_uniform_2000000.txt,2000000,512,3,157,10.7969,42,42
./Testcases/Gaussian/points_gaussian_2000000.txt,2000000,128,3,33,9.11326,16,16
./Testcases/Gaussian/points_gaussian_2000000.txt,2000000,256,3,33,9.71615,16,16
./Testcases/Gaussian/points_gaussian_2000000.txt,2000000,512,3,33,11.3187,16,16
./Testcases/Circle/points_circle_2000000.txt,2000000,128,4,85,10.1615,344,344
./Testcases/Circle/points_circle_2000000.txt,2000000,256,4,85,12.3842,344,344
./Testcases/Circle/points_circle_2000000.txt,2000000,512,4,85,14.881,344,344
./Testcases/Uniform/points_uniform_2000000.txt,2000000,128,4,155,9.04594,42,42
./Testcases/Uniform/points_uniform_2000000.txt,2000000,256,4,155,9.44097,42,42
./Testcases/Uniform/points_uniform_2000000.txt,2000000,512,4,155,10.9586,42,42
./Testcases/Gaussian/points_gaussian_2000000.txt,2000000,128,4,33,8.57298,16,16
./Testcases/Gaussian/points_gaussian_2000000.txt,2000000,256,4,33,9.30563,16,16
./Testcases/Gaussian/points_gaussian_2000000.txt,2000000,512,4,33,10.5621,16,16
./Testcases/Circle/points_circle_2000000.txt,2000000,128,5,87,10.2036,344,344
./Testcases/Circle/points_circle_2000000.txt,2000000,256,5,87,11.8252,344,344
./Testcases/Circle/points_circle_2000000.txt,2000000,512,5,87,14.1789,344,344
./Testcases/Uniform/points_uniform_2000000.txt,2000000,128,5,157,9.4546,42,42
./Testcases/Uniform/points_uniform_2000000.txt,2000000,256,5,157,9.77108,42,42
./Testcases/Uniform/points_uniform_2000000.txt,2000000,512,5,157,10.756,42,42
./Testcases/Gaussian/points_gaussian_2000000.txt,2000000,128,5,33,9.05795,16,16
./Testcases/Gaussian/points_gaussian_2000000.txt,2000000,256,5,33,9.43844,16,16
./Testcases/Gaussian/points_gaussian_2000000.txt,2000000,512,5,33,10.7765,16,16
./Testcases/Circle/points_circle_5000000.txt,5000000,128,1,228,16.1885,451,455
./Testcases/Circle/points_circle_5000000.txt,5000000,256,1,228,20.4194,451,451
./Testcases/Circle/points_circle_5000000.txt,5000000,512,1,228,26.5576,451,451
./Testcases/Uniform/points_uniform_5000000.txt,5000000,128,1,420,13.1439,36,36
./Testcases/Uniform/points_uniform_5000000.txt,5000000,256,1,420,14.9514,36,36
./Testcases/Uniform/points_uniform_5000000.txt,5000000,512,1,420,18.3075,36,36
./Testcases/Gaussian/points_gaussian_5000000.txt,5000000,128,1,74,12.8849,17,17
./Testcases/Gaussian/points_gaussian_5000000.txt,5000000,256,1,74,14.7435,17,17
./Testcases/Gaussian/points_gaussian_5000000.txt,5000000,512,1,74,18.19,17,17
./Testcases/Circle/points_circle_5000000.txt,5000000,128,2,224,16.4583,451,455
./Testcases/Circle/points_circle_5000000.txt,5000000,256,2,224,20.6603,451,451
./Testcases/Circle/points_circle_5000000.txt,5000000,512,2,224,26.9312,451,451
./Testcases/Uniform/points_uniform_5000000.txt,5000000,128,2,419,13.3038,36,36
./Testcases/Uniform/points_uniform_5000000.txt,5000000,256,2,419,14.8705,36,36
./Testcases/Uniform/points_uniform_5000000.txt,5000000,512,2,419,18.8323,36,36
./Testcases/Gaussian/points_gaussian_5000000.txt,5000000,128,2,74,13.6809,17,17
./Testcases/Gaussian/points_gaussian_5000000.txt,5000000,256,2,74,15.6115,17,17
./Testcases/Gaussian/points_gaussian_5000000.txt,5000000,512,2,74,18.3516,17,17
./Testcases/Circle/points_circle_5000000.txt,5000000,128,3,223,16.1217,451,455
./Testcases/Circle/points_circle_5000000.txt,5000000,256,3,223,20.5872,451,451
./Testcases/Circle/points_circle_5000000.txt,5000000,512,3,223,26.8574,451,451
./Testcases/Uniform/points_uniform_5000000.txt,5000000,128,3,419,13.4456,36,36
./Testcases/Uniform/points_uniform_5000000.txt,5000000,256,3,419,15.0188,36,36
./Testcases/Uniform/points_uniform_5000000.txt,5000000,512,3,419,18.6,36,36
./Testcases/Gaussian/points_gaussian_5000000.txt,5000000,128,3,74,13.083,17,17
./Testcases/Gaussian/points_gaussian_5000000.txt,5000000,256,3,74,15.0653,17,17
./Testcases/Gaussian/points_gaussian_5000000.txt,5000000,512,3,74,18.5922,17,17
./Testcases/Circle/points_circle_5000000.txt,5000000,128,4,226,16.3162,451,455
./Testcases/Circle/points_circle_5000000.txt,5000000,256,4,226,20.4202,451,451
./Testcases/Circle/points_circle_5000000.txt,5000000,512,4,226,26.7149,451,451
./Testcases/Uniform/points_uniform_5000000.txt,5000000,128,4,420,13.306,36,36
./Testcases/Uniform/points_uniform_5000000.txt,5000000,256,4,420,15.7572,36,36
./Testcases/Uniform/points_uniform_5000000.txt,5000000,512,4,420,18.3754,36,36
./Testcases/Gaussian/points_gaussian_5000000.txt,5000000,128,4,74,13.2493,17,17
./Testcases/Gaussian/points_gaussian_5000000.txt,5000000,256,4,74,15.7524,17,17
./Testcases/Gaussian/points_gaussian_5000000.txt,5000000,512,4,74,18.3196,17,17
./Testcases/Circle/points_circle_5000000.txt,5000000,128,5,223,16.5519,451,455
./Testcases/Circle/points_circle_5000000.txt,5000000,256,5,223,20.389,451,451
./Testcases/Circle/points_circle_5000000.txt,5000000,512,5,223,26.7239,451,451
./Testcases/Uniform/points_uniform_5000000.txt,5000000,128,5,419,13.3053,36,36
./Testcases/Uniform/points_uniform_5000000.txt,5000000,256,5,419,15.1057,36,36
./Testcases/Uniform/points_uniform_5000000.txt,5000000,512,5,419,18.9416,36,36
./Testcases/Gaussian/points_gaussian_5000000.txt,5000000,128,5,74,13.0952,17,17
./Testcases/Gaussian/points_gaussian_5000000.txt,5000000,256,5,74,15.321,17,17
